post_id,duration,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers,traffic_source,engagement_rate,content_category,duration_seconds,engagement_total
IG0000032,25:23,Carousel,182869,9458,3131,9914,1854517,1962959,1107,29,114,Profile,10.46236829195108,Food,1523,205372
IG0000033,25:23,Reel,166153,994,4272,3066,30495,138675,984,21,882,Home Feed,125.8229673697494,Music,1523,174485
IG0000034,25:23,Photo,30655,6902,2969,12917,1649160,2046106,781,27,888,Explore,2.6119370159708244,Food,1523,53443
IG0000035,25:23,Photo,21308,4222,4339,13055,655786,756748,1597,8,916,External,5.672165635059492,Technology,1523,42924
IG0000036,25:23,Video,127939,6015,1725,4116,260626,749559,1824,16,861,Explore,18.650299709562557,Music,1523,139795
IG0000037,25:23,Reel,51285,7705,3797,2518,1209734,1563306,700,13,336,Reels Feed,4.1773651479620755,Comedy,1523,65305
IG0000038,25:23,Reel,59876,4565,461,7632,898792,1297148,1267,8,311,Reels Feed,5.591806023676558,Technology,1523,72534
IG0000039,25:23,Reel,50998,4503,2231,10468,1478100,1705244,663,15,621,External,3.999427647890859,Travel,1523,68200
IG0000040,25:23,Reel,18737,6615,250,6172,1294970,1736215,1702,26,907,Hashtags,1.830072888438356,Fitness,1523,31774
IG0000041,25:23,Video,78059,5416,419,8377,1316621,1752540,272,3,359,External,5.2649868191310905,Comedy,1523,92271
IG0000042,25:23,Carousel,65342,1290,1139,3464,1161849,1639267,2019,27,184,Explore,4.345539805291023,Travel,1523,71235
IG0000043,25:23,Carousel,140896,1729,4453,2717,647882,1084676,1837,18,872,Reels Feed,13.810114725503283,Photography,1523,149795
IG0000044,25:23,Video,113836,226,1319,10216,1085399,1511909,72,15,409,Reels Feed,8.307179863338336,Comedy,1523,125597
IG0000045,25:23,Carousel,9849,8809,1503,14583,76465,366587,1939,30,419,External,9.477695608409462,Photography,1523,34744
IG0000046,25:23,Video,199799,10000,4736,1895,287485,653395,874,23,924,Profile,33.123914324413256,Music,1523,216430
IG0000047,25:23,Reel,55951,271,4931,6761,791098,1024309,1189,5,49,Hashtags,6.630225840054124,Travel,1523,67914
IG0000048,25:23,Carousel,92643,1642,160,12118,312299,510800,844,7,335,Home Feed,20.861981205951448,Fitness,1523,106563
IG0000049,25:23,Photo,71897,4958,48,9142,169872,370142,1867,0,885,External,23.24648378189992,Technology,1523,86045
IG0000050,25:23,Video,56382,9141,713,4160,1483982,1496684,802,27,370,External,4.703464458763507,Beauty,1523,70396
IG0000051,25:23,Photo,121423,4768,3955,13871,1593846,1782426,1968,21,426,Reels Feed,8.079830523118492,Food,1523,144017
IG0000052,25:23,Photo,75538,2363,667,5729,1314525,1540196,1241,2,870,Hashtags,5.473134588065415,Fashion,1523,84297
IG0000053,25:23,Photo,94378,3201,3358,4704,735516,1001758,1859,9,514,External,10.54556090393089,Fitness,1523,105641
IG0000054,25:23,Carousel,98569,2493,2853,14218,1265707,1526053,1972,30,947,Profile,7.741081076476373,Travel,1523,118133
IG0000055,25:23,Photo,2188,7455,3571,9184,1482516,1654011,2094,5,637,External,1.354162699038882,Beauty,1523,22398
IG0000056,25:23,Reel,4739,502,2253,4011,221133,255290,1666,18,576,External,4.506639508010498,Fitness,1523,11505
IG0000057,25:23,Photo,60395,1113,1287,3334,1902423,1963003,1054,6,621,Home Feed,3.3687671389192984,Travel,1523,66129
IG0000058,25:23,Video,71753,3088,2025,7848,1016814,1338686,386,0,669,Reels Feed,6.3281456592509375,Lifestyle,1523,84714
IG0000059,25:23,Video,191385,1642,1593,7165,1943435,2166659,2084,10,685,External,9.313186800507141,Lifestyle,1523,201785
IG0000060,25:23,Reel,59042,8574,1978,11350,1073192,1226471,1565,13,574,Explore,6.599748383777521,Photography,1523,80944
IG0000061,25:23,Carousel,133031,2984,2589,9452,316800,804931,2137,6,80,Hashtags,18.393626285979792,Fitness,1523,148056
IG0000062,25:23,Reel,71357,1052,4246,1060,1238595,1391880,1742,9,92,Reels Feed,5.583455470299164,Lifestyle,1523,77715
IG0000063,25:23,Carousel,93544,7310,2118,4111,1727309,1928338,289,13,718,Profile,5.553123985525359,Travel,1523,107083
IG0000064,25:23,Video,171840,2616,1547,13246,885241,978718,928,27,493,Explore,19.336417640219146,Photography,1523,189249
IG0000065,25:23,Photo,143899,2074,1844,8733,1730179,1798718,1022,1,360,Profile,8.703420992062124,Travel,1523,156550
IG0000066,25:23,Photo,159218,772,1580,11401,104738,323527,657,16,886,Hashtags,53.464162187390855,Photography,1523,172971
IG0000067,25:23,Reel,197177,9805,380,1748,933713,1259141,1712,13,335,External,16.60735374354421,Fitness,1523,209110
IG0000068,25:23,Carousel,21996,273,641,8360,974583,1361013,1175,10,524,Home Feed,2.297553366499806,Beauty,1523,31270
IG0000069,25:23,Photo,155671,5884,3487,6485,1678552,1764448,124,20,816,Reels Feed,9.72128393695932,Technology,1523,171527
IG0000070,25:23,Photo,5576,8050,1575,2781,1888156,2040636,1024,10,358,External,0.8811958624664076,Comedy,1523,17982
IG0000071,25:23,Carousel,106477,3839,2184,13508,1140404,1404649,111,18,244,Reels Feed,8.970782024548482,Beauty,1523,126008
IG0000072,25:23,Video,113592,2949,4820,7470,156274,187173,1710,27,555,Home Feed,68.82990602277039,Music,1523,128831
IG0000073,25:23,Carousel,104651,5249,810,8738,619213,1085157,49,10,228,External,11.007439476499714,Travel,1523,119448
IG0000074,25:23,Reel,83034,9183,526,4208,888730,1321805,2097,29,741,External,7.3347430218526934,Music,1523,96951
IG0000075,25:23,Video,85288,6649,1946,14209,1915192,2083888,1854,15,215,Hashtags,5.187035003800588,Beauty,1523,108092
IG0000076,25:23,Photo,107296,2538,3498,8725,179126,485861,1904,3,145,Reels Feed,25.121794093372387,Photography,1523,122057
IG0000077,25:23,Video,7473,3919,1702,12228,317075,606371,1449,19,974,Profile,4.175991266073081,Comedy,1523,25322
IG0000078,25:23,Photo,135256,1370,1716,355,815701,1060272,187,5,73,Reels Feed,13.081265939306142,Comedy,1523,138697
IG0000079,25:23,Reel,117267,7780,1588,13859,1572598,1797500,1364,8,730,Explore,7.816077885952712,Fashion,1523,140494
IG0000080,25:23,Carousel,65028,8681,2275,12134,1947239,2239263,1785,4,550,Hashtags,3.9351340150754957,Comedy,1523,88118
IG0000081,25:23,Photo,141610,802,3811,14371,64268,443038,1421,13,290,External,36.24835792866526,Technology,1523,160594
IG0000082,25:23,Photo,66834,2239,371,14022,1485851,1867513,591,17,52,Hashtags,4.4693664783056395,Comedy,1523,83466
IG0000083,25:23,Video,102350,9235,3337,3119,1730370,2163241,1374,19,632,External,5.456673574511578,Beauty,1523,118041
IG0000084,25:23,Carousel,18145,918,1334,14380,73681,101181,900,17,214,Profile,34.3710775738528,Fashion,1523,34777
IG0000085,25:23,Carousel,156766,7395,1090,1285,1464572,1684208,1602,22,109,Reels Feed,9.888089832134748,Beauty,1523,166536
IG0000086,25:23,Carousel,123729,4381,3797,12094,1098291,1338284,1033,13,615,Home Feed,10.760122664546538,Beauty,1523,144001
IG0000087,25:23,Carousel,154182,392,4983,4489,847762,1154033,619,29,858,External,14.215018114733288,Food,1523,164046
IG0000088,25:23,Video,95680,2329,4662,7884,1306688,1535537,1439,27,265,Reels Feed,7.199761386407491,Fashion,1523,110555
IG0000089,25:23,Carousel,160663,4139,3793,1658,87556,406434,1433,21,550,Explore,41.889458066992425,Beauty,1523,170253
IG0000090,25:23,Reel,55683,5309,3403,9043,607197,618403,583,25,104,Profile,11.875427512479726,Food,1523,73438
IG0000091,25:23,Video,195724,8410,591,1447,471829,846725,35,25,852,Reels Feed,24.34934600962532,Food,1523,206172
IG0000092,25:23,Carousel,87305,6399,1543,1558,1621801,1625567,331,12,749,Profile,5.955152878964694,Fashion,1523,96805
IG0000093,25:23,Photo,167420,1161,4152,7019,1006580,1220283,1371,11,481,External,14.730353532746093,Music,1523,179752
IG0000094,25:23,Carousel,29728,5605,4181,8129,1016916,1401231,1500,26,859,External,3.4000817852302725,Photography,1523,47643
IG0000095,25:23,Reel,98620,9501,214,1719,1511037,1762107,1814,23,576,Profile,6.245591215516424,Technology,1523,110054
IG0000096,25:23,Reel,21554,2059,1984,4730,1952764,1969648,160,19,682,Home Feed,1.5397167412654444,Photography,1523,30327
IG0000097,25:23,Photo,161614,6644,2604,14819,30428,411145,1207,14,534,External,45.16192584124823,Comedy,1523,185681
IG0000098,25:23,Video,184536,826,2215,7962,452418,582844,371,17,914,Hashtags,33.549114342774395,Technology,1523,195539
IG0000099,25:23,Photo,126446,2264,1694,1253,1273005,1333809,649,0,340,Hashtags,9.870753608650114,Comedy,1523,131657
IG0000100,25:23,Video,192838,9209,3916,4460,891372,1179545,1233,12,335,External,17.8393363542722,Beauty,1523,210423
IG0000101,25:23,Photo,181564,787,2880,8201,559188,742288,767,7,31,Home Feed,26.058888194339662,Travel,1523,193432
IG0000102,25:23,Video,79103,6492,3257,12182,1233808,1600479,1449,12,445,Home Feed,6.312735124921977,Fashion,1523,101034
IG0000103,25:23,Photo,188854,886,2611,1718,393280,833126,181,19,105,Explore,23.29407556600082,Technology,1523,194069
IG0000104,25:23,Photo,27630,9481,2569,13511,482142,763035,976,11,905,Profile,6.970977740208509,Technology,1523,53191
IG0000105,25:23,Reel,191217,3398,4496,6445,1312951,1733118,1801,23,934,Reels Feed,11.860473435738363,Beauty,1523,205556
IG0000106,25:23,Carousel,87108,4315,358,13138,1025653,1415280,511,30,205,Profile,7.413303374597254,Music,1523,104919
IG0000107,25:23,Carousel,56225,247,3854,12530,1546578,1988473,1832,24,975,External,3.6639169855461957,Food,1523,72856
IG0000108,25:23,Carousel,183586,8390,2031,7374,929139,1351603,232,5,442,Hashtags,14.899419430113724,Beauty,1523,201381
IG0000109,25:23,Reel,156172,3538,727,11248,616730,832190,971,24,170,Home Feed,20.630505052932623,Lifestyle,1523,171685
IG0000110,25:23,Reel,98038,1812,4909,8253,729344,806233,1235,26,842,Home Feed,14.017287806378553,Food,1523,113012
IG0000111,25:23,Video,125095,48,1024,3457,1172580,1575062,435,20,724,External,8.22977127249594,Fashion,1523,129624
IG0000112,25:23,Photo,131540,6006,4281,2057,497056,878382,1122,17,109,Hashtags,16.380572461639698,Food,1523,143884
IG0000113,25:23,Carousel,20835,5179,2336,14405,1797356,1976451,693,10,41,Explore,2.163220843825625,Music,1523,42755
IG0000114,25:23,Photo,172907,5971,4507,9979,659383,1003706,797,21,71,Explore,19.265003895563044,Food,1523,193364
IG0000115,25:23,Carousel,112677,9911,446,3268,732450,1116057,2076,1,151,Explore,11.316805503661552,Fashion,1523,126302
IG0000116,25:23,Photo,141901,3362,1679,13327,1979483,2274387,2141,14,444,Reels Feed,7.04668994326823,Music,1523,160269
IG0000117,25:23,Video,188652,1878,1122,13462,26232,306665,1386,7,964,External,66.88536350741036,Photography,1523,205114
IG0000118,25:23,Photo,125362,4667,4311,9556,913327,1007240,1159,6,95,Reels Feed,14.286168142647234,Technology,1523,143896
IG0000119,25:23,Photo,198873,7025,713,1483,681346,1132193,1278,14,495,External,18.379728544514936,Technology,1523,208094
IG0000120,25:23,Photo,105175,2900,1311,4059,492754,592063,704,12,881,Reels Feed,19.160967667292166,Comedy,1523,113445
IG0000121,25:23,Video,106243,5998,3962,9589,170468,170810,1884,29,88,Reels Feed,73.6444002107605,Photography,1523,125792
IG0000122,25:23,Photo,8278,8409,3444,6566,3533,206205,750,19,291,Hashtags,12.946824761766203,Photography,1523,26697
IG0000123,25:23,Reel,155651,1008,2354,13922,1241485,1535684,1284,14,196,Reels Feed,11.261105800412064,Food,1523,172935
IG0000124,25:23,Photo,29119,3053,3059,4117,391124,678377,2182,11,762,Reels Feed,5.8003145743443545,Technology,1523,39348
IG0000125,25:23,Video,92077,5213,560,2688,773023,857066,2091,16,313,Reels Feed,11.730485166836626,Fashion,1523,100538
IG0000126,25:23,Video,164084,6443,579,4113,1305598,1792580,1540,2,817,Explore,9.774682301487243,Fitness,1523,175219
IG0000127,25:23,Carousel,75323,314,2543,1038,397890,842626,2146,14,755,Explore,9.401323956298524,Fitness,1523,79218
IG0000128,25:23,Photo,77733,7827,4545,2868,1069988,1403140,335,2,594,Home Feed,6.626067249169719,Music,1523,92973
IG0000129,25:23,Photo,107334,5737,2054,2492,958579,1212180,1143,0,314,Reels Feed,9.702931907802471,Technology,1523,117617
IG0000130,25:23,Video,66481,9669,4250,9776,179446,237877,619,12,622,Hashtags,37.90866708424942,Technology,1523,90176
IG0000131,25:23,Photo,106325,564,3324,4707,609657,857701,430,9,423,Profile,13.398608606029375,Fitness,1523,114920
IG0000132,25:23,Photo,120220,8553,1481,14009,865197,963760,1902,21,308,Home Feed,14.968768158047647,Technology,1523,144263
IG0000133,25:23,Video,42971,4204,3072,14108,1781834,2032531,2196,27,998,External,3.1662493708583037,Food,1523,64355
IG0000134,25:23,Photo,149861,8529,4536,8564,1130190,1434349,1577,18,132,Explore,11.955946565305933,Lifestyle,1523,171490
IG0000135,25:23,Reel,6544,6524,2842,10643,272538,532021,932,23,934,Reels Feed,4.9909684016232445,Travel,1523,26553
IG0000136,25:23,Video,159079,4144,3376,8275,1316167,1403833,1587,19,980,Explore,12.456894801589648,Photography,1523,174874
IG0000137,25:23,Video,30825,904,3935,3872,1760549,1956853,917,6,473,Profile,2.020386814952375,Comedy,1523,39536
IG0000138,25:23,Reel,82728,3568,3728,9882,1606129,1845474,2054,30,372,External,5.413568546617292,Music,1523,99906
IG0000139,25:23,Carousel,112420,3292,1416,167,1830574,1848880,518,11,189,Home Feed,6.344111029379949,Lifestyle,1523,117295
IG0000140,25:23,Reel,184138,8493,4629,5929,1284686,1689532,1446,20,337,Hashtags,12.026348124806159,Fitness,1523,203189
IG0000141,25:23,Photo,79883,8961,927,12631,1471401,1769818,933,1,622,Hashtags,5.786018675366619,Photography,1523,102402
IG0000142,25:23,Photo,94825,7170,2268,9313,1484988,1737695,371,17,144,Hashtags,6.536014663102558,Technology,1523,113576
IG0000143,25:23,Video,173,8780,2633,2584,305909,670468,909,26,738,Hashtags,2.11344911315678,Comedy,1523,14170
IG0000144,25:23,Carousel,109921,4198,2191,5713,1591949,1596080,1412,13,331,Explore,7.645168161996891,Technology,1523,122023
IG0000145,25:23,Photo,24424,2637,2398,12097,958324,1327831,564,5,59,External,3.1296151392760074,Fashion,1523,41556
IG0000146,25:23,Photo,71608,7462,433,9154,819378,1070379,318,28,851,External,8.282767132015856,Fashion,1523,88657
IG0000147,25:23,Carousel,182434,7859,27,4731,1428502,1747252,784,19,345,Reels Feed,11.163301000657032,Comedy,1523,195051
IG0000148,25:23,Video,95509,6295,258,10755,876963,1241978,1304,14,740,Profile,9.083655266035308,Comedy,1523,112817
IG0000149,25:23,Reel,135425,4046,3037,1064,598868,743367,2122,3,59,Home Feed,19.313744086030184,Fitness,1523,143572
IG0000150,25:23,Photo,27095,2476,4934,14737,1983868,2439839,2011,7,265,Hashtags,2.018247925375404,Comedy,1523,49242
IG0000151,25:23,Video,133491,4282,4741,10767,976154,1152275,1771,11,912,Explore,13.302466859039727,Food,1523,153281
IG0000152,25:23,Carousel,172245,9740,2089,349,1745042,1778596,330,7,511,Profile,10.369021407897016,Technology,1523,184423
IG0000153,25:23,Reel,186969,7466,1905,5084,442302,736054,1241,3,78,Hashtags,27.3653835180571,Lifestyle,1523,201424
IG0000154,25:23,Carousel,156102,3713,680,13674,373156,625443,838,10,346,Hashtags,27.847301832461152,Beauty,1523,174169
IG0000155,25:23,Photo,107713,4603,4570,6585,1604853,1961630,1544,4,40,Profile,6.2943062657076,Comedy,1523,123471
IG0000156,25:23,Video,165728,7755,3244,11242,131887,261027,1144,18,908,Profile,72.01132449899819,Music,1523,187969
IG0000157,25:23,Video,145669,2901,4194,3756,1180015,1191259,1059,24,282,Explore,13.139040292665156,Fashion,1523,156520
IG0000158,25:23,Video,199705,334,4195,14154,462462,739697,1359,5,474,Profile,29.523980765097058,Food,1523,218388
IG0000159,25:23,Video,23488,4135,1231,253,948897,1036538,1689,17,142,Reels Feed,2.808097725312531,Photography,1523,29107
IG0000160,25:23,Carousel,76948,2419,2742,3811,3190,21115,1620,26,840,External,406.91451574709924,Beauty,1523,85920
IG0000161,25:23,Photo,38176,9354,3953,8597,1045076,1255368,1312,15,59,Explore,4.785847655826817,Lifestyle,1523,60080
IG0000162,25:23,Video,8111,4291,4296,8224,1442988,1790156,1802,0,459,Reels Feed,1.3921691740831525,Beauty,1523,24922
IG0000163,25:23,Video,154462,8482,3068,1260,1210347,1434526,1193,4,866,Reels Feed,11.66043696663567,Comedy,1523,167272
IG0000164,25:23,Video,99584,1708,3346,11986,1539906,1759483,166,11,646,Explore,6.628310702632535,Fitness,1523,116624
IG0000165,25:23,Reel,53192,667,429,11352,1076486,1469300,769,20,363,Explore,4.467433471721228,Fashion,1523,65640
IG0000166,25:23,Carousel,80156,9626,300,1786,865393,1040081,91,17,644,Home Feed,8.832773601286823,Fashion,1523,91868
IG0000167,25:23,Video,85508,4309,4829,8868,373817,462180,174,14,866,Reels Feed,22.39690164005366,Photography,1523,103514
IG0000168,25:23,Reel,153130,9023,1136,2860,1422456,1811431,800,2,837,External,9.172251109757976,Fitness,1523,166149
IG0000169,25:23,Video,23084,374,1088,9137,1563977,1796651,1757,16,758,Hashtags,1.8747658838583563,Technology,1523,33683
IG0000170,25:23,Photo,126872,5535,4962,7642,1089602,1150796,1583,25,919,Hashtags,12.60093013879089,Travel,1523,145011
IG0000171,25:23,Carousel,153296,7983,865,3031,1641449,1744228,1444,27,797,Home Feed,9.469805552943766,Food,1523,165175
IG0000172,25:23,Photo,74575,2599,4578,6963,822315,969699,367,30,15,Hashtags,9.148715219877507,Fashion,1523,88715
IG0000173,25:23,Reel,160316,1005,4459,8609,1622157,1696460,1379,18,610,Explore,10.279582188793134,Music,1523,174389
IG0000174,25:23,Reel,12903,119,2251,4502,225578,461171,1130,17,200,Explore,4.28799729384545,Fashion,1523,19775
IG0000175,25:23,Reel,29054,5374,4683,1048,1463852,1957487,440,8,682,Profile,2.0515589630991165,Beauty,1523,40159
IG0000176,25:23,Carousel,152979,5891,2221,5926,1358004,1724189,265,21,898,Home Feed,9.686699079973252,Fashion,1523,167017
IG0000177,25:23,Photo,177048,4233,3505,1907,781644,1248092,1568,29,930,Profile,14.958272306849175,Fashion,1523,186693
IG0000178,25:23,Carousel,145431,4225,670,4284,382237,520857,508,20,332,Hashtags,29.68377116943806,Travel,1523,154610
IG0000179,25:23,Video,67523,7239,3078,11494,1016775,1276916,619,14,248,Reels Feed,6.9960749180055695,Travel,1523,89334
IG0000180,25:23,Reel,132268,7024,4110,13545,564794,1017136,1020,19,90,Home Feed,15.430286608673766,Lifestyle,1523,156947
IG0000181,25:23,Reel,103709,1440,3435,3460,1867121,1953730,1325,11,671,External,5.734876364697271,Technology,1523,112044
IG0000182,25:23,Reel,171391,8510,4596,4872,1094651,1117152,1935,3,921,Home Feed,16.951050528486725,Music,1523,189369
IG0000183,25:23,Photo,134431,7759,636,9377,194249,601903,742,24,802,Explore,25.286964843172406,Fashion,1523,152203
IG0000184,25:23,Carousel,129104,9610,2475,9648,463019,759688,1429,6,193,Reels Feed,19.855124735417697,Fashion,1523,150837
IG0000185,25:23,Video,151164,2342,1458,11149,910035,953172,992,12,750,External,17.427389810023794,Food,1523,166113
IG0000186,25:23,Carousel,15606,4809,2093,6403,62169,224066,1311,25,345,Explore,12.90289468281667,Travel,1523,28911
IG0000187,25:23,Carousel,173092,4033,4409,4271,367569,437879,1526,18,152,Hashtags,42.43295522278986,Music,1523,185805
IG0000188,25:23,Carousel,102665,2940,2885,10389,1061889,1338694,1223,24,273,Reels Feed,8.880222067178908,Photography,1523,118879
IG0000189,25:23,Photo,65978,8221,4077,26,724593,1049732,415,20,387,Explore,7.459237214831976,Lifestyle,1523,78302
IG0000190,25:23,Reel,73562,5761,1911,6086,1427095,1717143,2168,25,761,Profile,5.0851909246929345,Technology,1523,87320
IG0000191,25:23,Reel,166204,4832,4236,7952,902667,1103232,387,26,9,Hashtags,16.607930154310242,Fitness,1523,183224
IG0000192,25:23,Photo,68109,1447,2839,14565,170163,253169,1181,29,712,External,34.348597182119455,Technology,1523,86960
IG0000193,25:23,Carousel,49797,9967,2832,7743,1746076,2120937,943,5,474,External,3.3164115671516883,Beauty,1523,70339
IG0000194,25:23,Photo,182215,9131,2745,14402,78763,233395,1719,0,274,Home Feed,89.33053407313781,Fashion,1523,208493
IG0000195,25:23,Reel,84905,2416,3114,9150,1409679,1430471,1108,17,103,Hashtags,6.961693036769008,Lifestyle,1523,99585
IG0000196,25:23,Video,123388,4976,169,4745,1853770,1944635,547,17,891,Profile,6.853625487559362,Beauty,1523,133278
IG0000197,25:23,Video,197202,610,1973,8267,149883,286496,332,5,483,External,72.61951301239807,Music,1523,208052
IG0000198,25:23,Video,90898,1650,3656,2465,1177648,1312242,771,6,296,Home Feed,7.519116138639062,Fitness,1523,98669
IG0000199,25:23,Video,140965,3336,2576,10509,24574,160467,1898,21,720,Hashtags,98.07997906111538,Travel,1523,157386
IG0000200,25:23,Carousel,145549,6519,149,2469,382768,384081,123,5,826,External,40.27431713622908,Lifestyle,1523,154686
IG0000201,25:23,Photo,160136,2665,3655,6984,372334,709007,1315,14,154,Hashtags,24.46238189467805,Lifestyle,1523,173440
IG0000202,25:23,Carousel,32829,6896,135,13602,1550648,1856571,1084,17,660,Home Feed,2.8796097752254024,Fashion,1523,53462
IG0000203,25:23,Reel,173554,6449,1179,8912,1310536,1324629,2093,8,529,Hashtags,14.350735186984432,Comedy,1523,190094
IG0000204,25:23,Photo,119754,7739,138,14835,417654,462782,1038,13,70,Reels Feed,30.784689119282945,Lifestyle,1523,142466
IG0000205,25:23,Photo,115114,6911,2594,3198,498185,722381,1274,25,252,Hashtags,17.693848536990867,Food,1523,127817
IG0000206,25:23,Carousel,174274,6140,201,7190,1254268,1522459,196,0,104,Home Feed,12.335635967865144,Fitness,1523,187805
IG0000207,25:23,Video,154813,4743,2259,4015,1056648,1456340,948,9,625,Profile,11.386764079816526,Fitness,1523,165830
IG0000208,25:23,Carousel,43118,9260,1546,4335,364330,515262,211,19,391,External,11.306675050750881,Food,1523,58259
IG0000209,25:23,Photo,41352,9500,2918,13385,959539,1048046,941,13,556,Explore,6.407638596015825,Photography,1523,67155
IG0000210,25:23,Reel,153298,5227,4128,12798,145584,513138,1502,5,332,Home Feed,34.1917768709392,Food,1523,175451
IG0000211,25:23,Video,142534,1844,1364,12461,688375,912478,1141,22,860,External,17.33773307411247,Food,1523,158203
IG0000212,25:23,Photo,153505,1605,658,2008,1698721,1788686,811,5,241,Profile,8.820776816053796,Fitness,1523,157776
IG0000213,25:23,Carousel,189790,9309,2846,5761,1491217,1894495,1898,23,376,Profile,10.963660500555557,Technology,1523,207706
IG0000214,25:23,Carousel,191534,4007,4040,1707,1431899,1639530,908,26,14,External,12.27717699584637,Fitness,1523,201288
IG0000215,25:23,Reel,144951,8585,2727,11883,1557873,1966942,1674,20,496,Profile,8.548599806196625,Comedy,1523,168146
IG0000216,25:23,Carousel,95489,9666,2221,13985,1112056,1587527,1934,1,746,Profile,7.6446573822051525,Fashion,1523,121361
IG0000217,25:23,Carousel,187048,9900,1604,7142,1854301,2108304,1319,14,888,Reels Feed,9.756372894990475,Beauty,1523,205694
IG0000218,25:23,Carousel,161008,5831,1628,9504,456704,880580,19,27,913,Hashtags,20.210656612687092,Technology,1523,177971
IG0000219,25:23,Video,47687,3522,2432,2077,905096,1254398,1061,23,901,Profile,4.441811928909326,Travel,1523,55718
IG0000220,25:23,Video,17002,213,931,3129,690476,1100215,2052,26,917,External,1.933712956104034,Beauty,1523,21275
